VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,01-03-2016 00:00,01-03-2016 00:26,1,11.53,-73.99230194,40.74971389770508,1,N,-74.03071594,40.61862182617188,2,33.5,0.5,0.5,0,0,0.3,34.8
2,01-03-2016 00:00,01-03-2016 00:16,4,4.26,-74.0079422,40.70626831054688,1,N,-73.9564209,40.71889877319336,2,16,0.5,0.5,0,0,0.3,17.3
2,01-03-2016 00:00,01-03-2016 00:10,2,2.66,-73.95465851,40.768909454345696,1,N,-73.97611237,40.74494934082031,1,11,0.5,0.5,2.46,0,0.3,14.76
1,01-03-2016 00:00,01-03-2016 00:10,1,1.7,-73.96561432,40.790332794189446,1,N,-73.94799042,40.774517059326165,1,9,0.5,0.5,2.05,0,0.3,12.35
1,01-03-2016 00:00,01-03-2016 00:11,1,2.4,-73.98728943,40.75569152832031,1,N,-73.96084595,40.76950073242188,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,01-03-2016 00:00,01-03-2016 00:04,1,1,-73.98183441,40.75626373291016,1,N,-73.98706055,40.74866867,2,5.5,0.5,0.5,0,0,0.3,6.8
1,01-03-2016 00:00,01-03-2016 00:13,2,3.7,-73.95122528,40.78277206420898,1,N,-73.98895264,40.74826049804688,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,01-03-2016 00:00,01-03-2016 00:08,1,1.3,-73.98300934,40.75618362426758,1,N,-73.96585846,40.75423813,1,7.5,0.5,0.5,0,0,0.3,8.8
1,01-03-2016 00:00,01-03-2016 00:29,1,9.2,-73.98862457,40.72168350219727,1,N,-73.93851471,40.817020416259766,1,31,0.5,0.5,8.05,0,0.3,40.35
2,01-03-2016 00:00,01-03-2016 00:04,5,0.79,-73.99179077,40.749187469482415,1,N,-73.98950958,40.75777816772461,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,01-03-2016 00:00,01-03-2016 00:02,1,0.95,-73.99591827,40.73867034912109,1,N,-73.99203491,40.74949645996094,2,4.5,0.5,0.5,0,0,0.3,5.8
1,01-03-2016 00:00,01-03-2016 00:21,1,6.9,-73.95418549,40.76414108276367,1,N,-73.9024353,40.82696914672852,2,22.5,0.5,0.5,0,0,0.3,23.8
2,01-03-2016 00:00,01-03-2016 00:16,1,4.26,-73.96170044,40.654949188232415,1,N,-73.93612671,40.69771957397461,1,15.5,0.5,0.5,2,0,0.3,18.8
2,01-03-2016 00:00,01-03-2016 00:11,1,3.11,-73.9890213,40.71890640258789,1,N,-73.94670868,40.695648193359375,2,12,0.5,0.5,0,0,0.3,13.3
1,01-03-2016 00:00,01-03-2016 00:09,1,3.8,-73.97113037,40.75152587890625,1,N,-73.98873901,40.71282196044922,1,13,0.5,0.5,2.85,0,0.3,17.15
1,01-03-2016 00:00,01-03-2016 00:11,1,2.8,-73.98197174,40.761695861816406,1,N,-73.97492218,40.79317474365234,2,11,0.5,0.5,0,0,0.3,12.3
2,01-03-2016 00:00,01-03-2016 00:03,1,1.21,-73.96903992,40.79098129272461,1,N,-73.96208954,40.80535125732422,1,5.5,0.5,0.5,1,0,0.3,7.8
2,01-03-2016 00:00,01-03-2016 00:04,1,1.31,-73.99842834,40.740581512451165,1,N,-73.99459076,40.75498962402344,1,6,0.5,0.5,1.46,0,0.3,8.76
1,01-03-2016 00:00,01-03-2016 00:12,1,2.7,-74.00578308,40.74040985107422,1,N,-73.98197174,40.764007568359375,1,11,0.5,0.5,2.45,0,0.3,14.75
2,01-03-2016 00:00,01-03-2016 00:25,1,5.39,-73.98713684,40.720516204833984,1,N,-73.96949768,40.76110458374024,1,20.5,0.5,0.5,4.36,0,0.3,26.16
2,01-03-2016 00:00,01-03-2016 00:13,1,2.82,-73.97879028,40.76246643066406,1,N,-73.98910522,40.730716705322266,1,11.5,0.5,0.5,3.2,0,0.3,16
2,01-03-2016 00:00,01-03-2016 00:09,1,2.07,-73.9825058,40.75724411010742,1,N,-73.98570251,40.77806473,1,9.5,0.5,0.5,1.7,0,0.3,12.5
1,01-03-2016 00:00,01-03-2016 00:18,1,7.7,-74.01290131,40.70807266235352,1,N,-73.96126556,40.64998245239258,1,23.5,0.5,0.5,1,0,0.3,25.8
1,01-03-2016 00:00,01-03-2016 00:18,1,5.1,-73.96903992,40.79089355,1,N,-73.9895401,40.73448181152344,2,17.5,0.5,0.5,0,0,0.3,18.8
2,01-03-2016 00:00,01-03-2016 00:14,3,3.34,-73.98222351,40.75860977172852,1,N,-73.93955231,40.751731872558594,1,13,0.5,0.5,1,0,0.3,15.3
2,01-03-2016 00:00,01-03-2016 00:05,2,2.69,-74.00289917,40.74930953979492,1,N,-73.97846985,40.78313827514648,2,9,0.5,0.5,0,0,0.3,10.3
2,01-03-2016 00:00,01-03-2016 00:04,1,0.71,-73.98590851,40.757598876953125,1,N,-73.99256897,40.75347137451172,2,4.5,0.5,0.5,0,0,0.3,5.8
2,01-03-2016 00:00,01-03-2016 00:08,1,1.42,-73.99240112,40.75899887084961,1,N,-73.9770813,40.747108459472656,1,7.5,0.5,0.5,2.2,0,0.3,11
2,01-03-2016 00:00,01-03-2016 00:14,5,4.28,-73.98390198,40.76818848,1,N,-74.01125336,40.713478088378906,1,15,0.5,0.5,4.89,0,0.3,21.19
2,01-03-2016 00:00,01-03-2016 00:11,1,1.84,-73.99774933,40.75659942626953,1,N,-74.00470734,40.73453140258789,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,01-03-2016 00:00,01-03-2016 00:18,6,3.95,-73.98654175,40.766788482666016,1,N,-73.97782135,40.726028442382805,1,15,0.5,0.5,3.26,0,0.3,19.56
2,01-03-2016 00:00,01-03-2016 00:14,3,3.65,-73.98704529,40.75561523,1,N,-73.94645691,40.77686309814453,1,14,0.5,0.5,3,0,0.3,18.3
2,01-03-2016 00:00,01-03-2016 00:15,6,9.46,-73.99542999,40.72500228881836,1,N,-73.85942841,40.735816955566406,1,26.5,0.5,0.5,4,0,0.3,31.8
2,01-03-2016 00:00,01-03-2016 00:03,1,0.48,-73.99212646,40.725372314453125,1,N,-73.98706055,40.72983551025391,2,4,0.5,0.5,0,0,0.3,5.3
2,01-03-2016 00:00,01-03-2016 00:38,1,19.35,-73.78942871,40.64771652,2,N,-73.97074127,40.79333114624024,1,52,0,0.5,6.66,5.54,0.3,65
2,01-03-2016 00:00,01-03-2016 00:21,1,11.25,-73.87077332,40.77368927001953,1,N,-73.98858643,40.75933074951172,1,32.5,0.5,0.5,11.8,5.54,0.3,51.14
1,01-03-2016 00:00,01-03-2016 00:08,1,2.2,-73.95204926,40.71413040161133,1,N,-73.96796417,40.68948745727539,2,9.5,0.5,0.5,0,0,0.3,10.8
2,01-03-2016 00:00,01-03-2016 00:15,1,4.65,-73.97259521,40.75608444213867,1,N,-73.95128632,40.810333251953125,1,15.5,0.5,0.5,2,0,0.3,18.8
1,01-03-2016 00:00,01-03-2016 00:10,1,1.8,-74.0059433,40.740352630615234,1,N,-73.97843933,40.73427581787109,1,9,0.5,0.5,1,0,0.3,11.3
2,01-03-2016 00:00,01-03-2016 00:35,1,10.34,-73.9900589,40.76193618774414,1,N,-73.85777283,40.743255615234375,1,34.5,0.5,0.5,0,0,0.3,35.8
1,01-03-2016 00:00,01-03-2016 00:03,1,1.1,-73.97267151,40.75598907470703,1,N,-73.98126221,40.742069244384766,1,5.5,0.5,0.5,1,0,0.3,7.8
1,01-03-2016 00:00,01-03-2016 00:23,1,6.8,-73.97994995,40.74975204467773,1,N,-73.94968414,40.68077087402344,1,22.5,0.5,0.5,4.75,0,0.3,28.55
1,01-03-2016 00:00,01-03-2016 00:08,1,1.4,-73.98271942,40.74505615234375,1,N,-73.97182465,40.76203918457031,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,01-03-2016 00:00,01-03-2016 00:12,1,6.3,-73.87252045,40.77450942993164,1,N,-73.95454407,40.74215316772461,1,19,0.5,0.5,4.06,0,0.3,24.36
2,01-03-2016 00:00,01-03-2016 00:14,1,5.52,-73.98957825,40.72058105,1,N,-73.9394989,40.79024124145508,1,16.5,0.5,0.5,2,0,0.3,19.8
1,01-03-2016 00:00,01-03-2016 00:04,1,0.6,-73.97259521,40.75928115844727,1,N,-73.97032928,40.75235366821289,1,5,0.5,0.5,1.25,0,0.3,7.55
1,01-03-2016 00:00,01-03-2016 00:19,1,3.4,-74.0061264,40.742332458496094,1,N,-73.9910965,40.71963882446289,2,15,0.5,0.5,0,0,0.3,16.3
2,01-03-2016 00:00,01-03-2016 00:16,1,9.79,-73.87443542,40.77402114868164,1,N,-74.00138855,40.72154998779297,2,27.5,0.5,0.5,0,0,0.3,28.8
2,01-03-2016 00:00,01-03-2016 00:07,4,1.04,-73.96793365,40.766998291015625,1,N,-73.98139191,40.768413543701165,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,01-03-2016 00:00,01-03-2016 00:17,1,10.2,-73.87453461,40.774112701416016,1,N,-74.00366211,40.715911865234375,1,29,0.5,0.5,6.06,0,0.3,36.36
2,01-03-2016 00:00,01-03-2016 00:08,1,2.54,-73.94833374,40.778316497802734,1,N,-73.92554474,40.80564880371094,2,9.5,0.5,0.5,0,0,0.3,10.8
2,01-03-2016 00:00,01-03-2016 00:05,1,1.32,-73.99053192,40.734989166259766,1,N,-74.00089264,40.71855163574219,1,6,0.5,0.5,1.46,0,0.3,8.76
2,01-03-2016 00:00,01-03-2016 00:08,2,1.51,-73.98603821,40.723098754882805,1,N,-74.00237274,40.73345184326172,2,7.5,0.5,0.5,0,0,0.3,8.8
1,01-03-2016 00:00,01-03-2016 00:09,1,1.4,-73.98059082,40.676284790039055,1,N,-73.9573288,40.674293518066406,1,8,0.5,0.5,2.3,0,0.3,11.6
1,01-03-2016 00:00,01-03-2016 00:08,1,1.3,-74.01022339,40.721050262451165,1,N,-74.00580597,40.70624542236328,1,7,0.5,0.5,1.65,0,0.3,9.95
2,01-03-2016 00:00,01-03-2016 00:05,3,1.16,-73.98274231,40.722930908203125,1,N,-73.98471069,40.73477935791016,1,6,0.5,0.5,0,0,0.3,7.3
